Exp,Period,A_Temp,Real_Avg,Treat,Replicate,Bath,Day,Infection,Spores,Exposed
POP,C,23,23,C,5,B,35,1,112,112
POP,C,23,23,C,5,B,35,1,38,38
POP,C,23,23,C,5,B,35,1,274,274
POP,C,23,23,C,5,B,35,1,17,17
POP,C,23,23,C,5,B,35,1,338,338
POP,C,23,23,C,5,B,35,1,45,45
POP,C,23,23,C,5,B,42,1,95,95
POP,C,23,23,C,5,B,42,1,111,111
POP,C,23,23,C,5,B,42,1,634,634
POP,C,23,23,C,5,B,42,1,861,861
POP,C,23,23,C,5,B,42,1,5,5
POP,C,23,23,C,5,B,42,1,245,245
POP,C,23,23,C,5,B,49,1,78,78
POP,C,23,23,C,5,B,49,1,70,70
POP,C,23,23,C,5,B,49,1,122,122
POP,C,23,23,C,5,B,49,1,43,43
POP,C,23,23,C,5,B,49,1,234,234
POP,C,23,23,C,5,B,49,1,3,3
POP,D,23,22.98,CS,1,A,35,1,52,52
POP,D,23,22.98,CS,1,A,35,1,501,501
POP,D,23,22.98,CS,1,A,35,1,274,274
POP,D,23,22.98,CS,1,A,35,1,151,151
POP,D,23,22.98,CS,1,A,35,1,228,228
POP,D,23,22.98,CS,1,A,35,1,81,81
POP,JA,23,22.98,CS,1,A,42,1,725,725
POP,JA,23,22.98,CS,1,A,42,1,716,716
POP,JA,23,22.98,CS,1,A,42,1,619,619
POP,JA,23,22.98,CS,1,A,42,1,571,571
POP,JA,23,22.98,CS,1,A,42,1,323,323
POP,JA,23,22.98,CS,1,A,42,1,287,287
POP,A,23,22.98,CS,1,A,49,1,183,183
POP,A,23,22.98,CS,1,A,49,1,152,152
POP,A,23,22.98,CS,1,A,49,1,45,45
POP,A,23,22.98,CS,1,A,49,1,287,287
POP,A,23,22.98,CS,1,A,49,1,116,116
POP,A,23,22.98,CS,1,A,49,1,70,70
POP,D,23,23,CS,2,B,35,1,56,56
POP,D,23,23,CS,2,B,35,1,381,381
POP,D,23,23,CS,2,B,35,1,82,82
POP,D,23,23,CS,2,B,35,1,492,492
POP,D,23,23,CS,2,B,35,1,48,48
POP,D,23,23,CS,2,B,35,1,91,91
POP,JA,23,23,CS,2,B,42,1,937,937
POP,JA,23,23,CS,2,B,42,1,98,98
POP,JA,23,23,CS,2,B,42,1,924,924
POP,JA,23,23,CS,2,B,42,1,736,736
POP,JA,23,23,CS,2,B,42,1,127,127
POP,JA,23,23,CS,2,B,42,0,0,0
POP,A,23,23,CS,2,B,49,1,52,52
POP,A,23,23,CS,2,B,49,0,0,0
POP,A,23,23,CS,2,B,49,1,3,3
POP,A,23,23,CS,2,B,49,1,3,3
POP,A,23,23,CS,2,B,49,1,622,622
POP,A,23,23,CS,2,B,49,1,27,27
POP,D,23,22.97,CS,3,C,35,1,78,78
POP,D,23,22.97,CS,3,C,35,1,516,516
POP,D,23,22.97,CS,3,C,35,1,302,302
POP,D,23,22.97,CS,3,C,35,1,445,445
POP,D,23,22.97,CS,3,C,35,1,52,52
POP,D,23,22.97,CS,3,C,35,1,1,1
POP,JA,23,22.97,CS,3,C,42,1,696,696
POP,JA,23,22.97,CS,3,C,42,1,1234,1234
POP,JA,23,22.97,CS,3,C,42,1,271,271
POP,JA,23,22.97,CS,3,C,42,1,686,686
POP,JA,23,22.97,CS,3,C,42,1,68,68
POP,JA,23,22.97,CS,3,C,42,1,124,124
POP,A,23,22.97,CS,3,C,49,1,64,64
POP,A,23,22.97,CS,3,C,49,1,87,87
POP,A,23,22.97,CS,3,C,49,1,76,76
POP,A,23,22.97,CS,3,C,49,1,346,346
POP,A,23,22.97,CS,3,C,49,1,92,92
POP,A,23,22.97,CS,3,C,49,0,,0
POP,D,23,22.98,CS,4,A,35,1,444,444
POP,D,23,22.98,CS,4,A,35,1,155,155
POP,D,23,22.98,CS,4,A,35,1,489,489
POP,D,23,22.98,CS,4,A,35,1,357,357
POP,D,23,22.98,CS,4,A,35,1,60,60
POP,D,23,22.98,CS,4,A,35,1,2,2
POP,JA,23,22.98,CS,4,A,42,1,1001,1001
POP,JA,23,22.98,CS,4,A,42,1,316,316
POP,JA,23,22.98,CS,4,A,42,1,62,62
POP,JA,23,22.98,CS,4,A,42,1,35,35
POP,JA,23,22.98,CS,4,A,42,1,120,120
POP,JA,23,22.98,CS,4,A,42,1,6,6
POP,A,23,22.98,CS,4,A,49,1,357,357
POP,A,23,22.98,CS,4,A,49,1,490,490
POP,A,23,22.98,CS,4,A,49,1,345,345
POP,A,23,22.98,CS,4,A,49,1,238,238
POP,A,23,22.98,CS,4,A,49,1,158,158
POP,A,23,22.98,CS,4,A,49,1,7,7
POP,D,23,23,CS,5,B,35,1,295,295
POP,D,23,23,CS,5,B,35,1,266,266
POP,D,23,23,CS,5,B,35,1,44,44
POP,D,23,23,CS,5,B,35,1,72,72
POP,D,23,23,CS,5,B,35,1,262,262
POP,D,23,23,CS,5,B,35,1,29,29
POP,JA,23,23,CS,5,B,42,1,62,62
POP,JA,23,23,CS,5,B,42,1,164,164
POP,JA,23,23,CS,5,B,42,1,1050,1050
POP,JA,23,23,CS,5,B,42,1,10,10
POP,JA,23,23,CS,5,B,42,1,236,236
POP,JA,23,23,CS,5,B,42,1,68,68
POP,A,23,23,CS,5,B,49,1,1035,1035
POP,A,23,23,CS,5,B,49,1,297,297
POP,A,23,23,CS,5,B,49,1,234,234
POP,A,23,23,CS,5,B,49,1,357,357
POP,A,23,23,CS,5,B,49,1,3,3
POP,A,23,23,CS,5,B,49,1,45,45
